date,production
2022-06-15 00:30:00+00:00,0.0
2022-06-15 01:30:00+00:00,0.0
2022-06-15 02:30:00+00:00,0.0
2022-06-15 03:30:00+00:00,0.0
2022-06-15 04:30:00+00:00,8.117025934535183
2022-06-15 05:30:00+00:00,46.64555312633032
2022-06-15 06:30:00+00:00,167.30700314571234
2022-06-15 07:30:00+00:00,358.4908776862731
2022-06-15 08:30:00+00:00,593.1965254845478
2022-06-15 09:30:00+00:00,790.9416749343263
2022-06-15 10:30:00+00:00,928.9758640299771
2022-06-15 11:30:00+00:00,969.423724915772
2022-06-15 12:30:00+00:00,935.0732621143928
2022-06-15 13:30:00+00:00,824.033803011558
2022-06-15 14:30:00+00:00,668.5895126828095
2022-06-15 15:30:00+00:00,454.0894752713314
2022-06-15 16:30:00+00:00,264.5602571193066
2022-06-15 17:30:00+00:00,113.59322973484953
2022-06-15 18:30:00+00:00,23.15414980505464
2022-06-15 19:30:00+00:00,3.4267541358588205
2022-06-15 20:30:00+00:00,0.0
2022-06-15 21:30:00+00:00,0.0
2022-06-15 22:30:00+00:00,0.0
2022-06-15 23:30:00+00:00,0.0
2022-06-15 00:30:00+00:00,0.0
2022-06-15 01:30:00+00:00,0.0
2022-06-15 02:30:00+00:00,0.0
2022-06-15 03:30:00+00:00,0.0
2022-06-15 04:30:00+00:00,8.117025934535183
2022-06-15 05:30:00+00:00,46.64555312633032
2022-06-15 06:30:00+00:00,167.30700314571234
2022-06-15 07:30:00+00:00,358.4908776862731
2022-06-15 08:30:00+00:00,593.1965254845478
2022-06-15 09:30:00+00:00,790.9416749343263
2022-06-15 10:30:00+00:00,928.9758640299771
2022-06-15 11:30:00+00:00,969.423724915772
2022-06-15 12:30:00+00:00,935.0732621143928
2022-06-15 13:30:00+00:00,824.033803011558
2022-06-15 14:30:00+00:00,668.5895126828095
2022-06-15 15:30:00+00:00,454.0894752713314
2022-06-15 16:30:00+00:00,264.5602571193066
2022-06-15 17:30:00+00:00,113.59322973484953
2022-06-15 18:30:00+00:00,23.15414980505464
2022-06-15 19:30:00+00:00,3.4267541358588205
2022-06-15 20:30:00+00:00,0.0
2022-06-15 21:30:00+00:00,0.0
2022-06-15 22:30:00+00:00,0.0
2022-06-15 23:30:00+00:00,0.0
